Code #,Count,Title,HTML address,URL: doc address,Date accessed,Accessed by,Source,Day/Month,Year,Material type,Government Level 1,Government Level 2,Citation,Database name,Database link,Search terms used,Filters applied,Other Notes
11,7884,National forest insect and disease emergency act,https://www.congress.gov/congressional-report/111th-congress/senate-report/313/1?q={%22search%22%3A[%22\%22mountain+pine+beetle\%22%22]}&r=1,https://www.congress.gov/111/crpt/srpt313/CRPT-111srpt313.pdf,1/12/2017,EF,,9/27,2010,Congressional document,Senate,Committee on Energy and Natural Resources,,Library of Congress,https://www.congress.gov/,"""mountain pine beetle"" ","Searched ""all sources"" and ""all congresses""",
12,4070,Rocky mountain front heritage act,https://www.congress.gov/congressional-report/113th-congress/senate-report/177/1?q={%22search%22%3A[%22\%22mountain+pine+beetle\%22%22]}&r=2,https://www.congress.gov/113/crpt/srpt177/CRPT-113srpt177.pdf,1/12/2017,EF,,6/2,2014,Congressional document,Senate,Committee on Energy and Natural Resources,,Library of Congress,https://www.congress.gov/,"""mountain pine beetle"" ","Searched ""all sources"" and ""all congresses""",
13,20206,Healthy forests resoration act of 2003,https://www.congress.gov/congressional-report/108th-congress/house-report/386/1?q={%22search%22%3A[%22\%22mountain+pine+beetle\%22%22]}&r=7,https://www.congress.gov/108/crpt/hrpt386/CRPT-108hrpt386.pdf,1/12/2017,EF,,11/20,2003,Congressional document,House of Representatives,,,Library of Congress,https://www.congress.gov/,"""mountain pine beetle"" ","Searched ""all sources"" and ""all congresses""",
14,3218,Cooperative forestry assistance act of 1978,https://www.congress.gov/congressional-report/108th-congress/senate-report/254/1?q={%22search%22%3A[%22\%22mountain+pine+beetle\%22%22]}&r=3,https://www.congress.gov/108/crpt/srpt254/CRPT-108srpt254.pdf,1/12/2017,EF,,4/26,2004,Congressional document,Senate,Committee on Energy and Natural Resources,,Library of Congress,https://www.congress.gov/,"""mountain pine beetle"" ","Searched ""all sources"" and ""all congresses""",
15,52643,"Final staff report for the 111th Congress submitted by Mr. Markey, chairman, select committee on energy independence and global warming",https://www.congress.gov/congressional-report/111th-congress/house-report/709/1?q={%22search%22%3A[%22\%22mountain+pine+beetle\%22%22]}&r=9,https://www.congress.gov/111/crpt/hrpt709/CRPT-111hrpt709.pdf,1/12/2017,EF,,1/3,2011,Congressional document,House of Representatives,Committee on Energy Independence and Global Warming,,Library of Congress,https://www.congress.gov/,"""mountain pine beetle"" ","Searched ""all sources"" and ""all congresses""",
16,23714,"Endangered and threatened wildlife and plants, 12-month finding on a  petition to list Pinus albicaulis as endangered or threatened with critical habitat",,,1/12/2017,EF,,7/19,2011,Federal agency document,Department of the Interior,United States Fish and Wildlife Service (FWS),,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Jurisdiction: ""All Federal""",
17,2354,Statement of Mark Rey concerning recreation on Colorado's National Forests,,,1/12/2017,EF,,5/5,2008,Federal agency document,U.S. Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Jurisdiction: ""All Federal""",
18,32784,"Offer of partial settlement of public service company of Colorado under ER12-1589, et. al. ",,,1/12/2017,EF,,10/7,2013,Federal agency document,Department of Energy,Federal Energy Regulatory Commission,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Jurisdiction: ""All Federal""",
19,479,"Invasive species: Mountain pine beetle, climate change blamed for $5B of timber loss in Canada",,,1/12/2017,EF,,3/22,2006,Legal news,,,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Jurisdiction: ""All Federal""",
20,2369,Climate/forests: Researchers look at how beetle epidemic is affecting climate patterns,,,1/12/2017,EF,,10/9,2008,Legal news,,,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Jurisdiction: ""All Federal""",
21,9426,U.S. and Canadian govenrments have established mechanisms to monitor compliance with the 2006 softwood lumber agreement but face operational challenges,,http://www.gao.gov/assets/100/96185.html,1/12/2017,EF,,6/18,2009,GAO document,GAO,,,U.S. Government Accountability Office,http://www.gao.gov/browse,"""mountain pine beetle"" ",None,
22,19199,Forestry restoration: Adjusting agencies' information-sharing strategies could benefit landscape-scale projects,,http://www.gao.gov/assets/670/669544.pdf,1/12/2017,EF,,4/9,2015,GAO document,GAO,,,U.S. Government Accountability Office,http://www.gao.gov/browse,"""mountain pine beetle"" ",None,
23,60305,Climate change: Agencies should develop guidance for addressing the effects on federal land and water resources,,http://www.gao.gov/assets/270/265219.html,1/12/2017,EF,,8/7,2007,GAO document,GAO,,,U.S. Government Accountability Office,http://www.gao.gov/browse,"""mountain pine beetle"" ",None,
24,23472,Forest service research and development: Improvements in delivery of research results can help ensure that benefits of research are realized,,http://www.gao.gov/assets/320/311859.html,1/12/2017,EF,,10/29,2010,GAO document,GAO,,,U.S. Government Accountability Office,http://www.gao.gov/browse,"""mountain pine beetle"" ",None,
25,20818,Forest service trails: Long- and short-term improvements could reduce maintenance backlog and enhance system sustainability,,http://www.gao.gov/assets/660/655582.txt,1/12/2017,EF,,6/27,2013,GAO document,GAO,,,U.S. Government Accountability Office,http://www.gao.gov/browse,"""mountain pine beetle"" ",None,
26,2021,"Black hills national forest, Custer, South Dakota - Mountain pine beetle response project ",https://www.gpo.gov/fdsys/pkg/FR-2012-02-23/html/2012-4174.htm,https://www.govinfo.gov/content/pkg/FR-2012-02-23/pdf/2012-4174.pdf,1/12/2017,EF,Federal Register,2/23,2012,Federal agency document,U.S. Department of Agriculture,Forest Service,,Federal Digital System (Fdsys) (U.S. Government Publishing Office),https://www.gpo.gov/fdsys/search/home.action,"""mountain pine beetle"" ","Searched ""Department of Agriculture"" organization",
27,3363,"Caribou-Targhee national forest, Ashton/Island park ranger station, Idaho, Buffalo TSI",https://www.gpo.gov/fdsys/pkg/FR-2016-02-24/html/2016-03868.htm,https://www.govinfo.gov/content/pkg/FR-2016-02-24/pdf/2016-03868.pdf,1/12/2017,EF,Federal Register,2/24,2016,Federal agency document,U.S. Department of Agriculture,Forest Service,,Federal Digital System (Fdsys) (U.S. Government Publishing Office),https://www.gpo.gov/fdsys/search/home.action,"""mountain pine beetle"" ","Searched ""Department of Agriculture"" organization",
28,1368,Tax dollars are going up in smoke - literally,https://www.gpo.gov/fdsys/pkg/CREC-2009-10-07/html/CREC-2009-10-07-pt1-PgH10525-2.htm,https://www.govinfo.gov/content/pkg/CREC-2009-10-07/pdf/CREC-2009-10-07-pt1-PgH10525-2.pdf,1/12/2017,EF,,10/7,2009,Congressional document,House of Representatives,,,Federal Digital System (Fdsys) (U.S. Government Publishing Office),https://www.gpo.gov/fdsys/search/home.action,"""mountain pine beetle"" ","Searched ""Congressional record"" collection",
29,2833,"Sense of Congress that federal land management agencies implement western governors association ""collaborative 10-year strategy for reducing wildland fire risks to communities and the environment""",https://www.gpo.gov/fdsys/pkg/CREC-2002-07-25/html/CREC-2002-07-25-pt1-PgE1349-3.htm,,1/12/2017,EF,,7/25,2002,Congressional document,House of Representatives,,,Federal Digital System (Fdsys) (U.S. Government Publishing Office),https://www.gpo.gov/fdsys/search/home.action,"""mountain pine beetle"" ","Searched ""Congressional record"" collection",
30,2841,Forest jobs and recreation act ,https://www.gpo.gov/fdsys/pkg/CREC-2011-10-04/html/CREC-2011-10-04-pt1-PgS6085-2.htm,,1/12/2017,EF,,10/4,2011,Congressional document,Senate,,,Federal Digital System (Fdsys) (U.S. Government Publishing Office),https://www.gpo.gov/fdsys/search/home.action,"""mountain pine beetle"" ","Searched ""Congressional record"" collection",
31,3316,"Black hills national forest, South Dakota and Wyoming, black hills resilient landscapes project",,https://www.gpo.gov/fdsys/pkg/FR-2016-08-25/pdf/2016-20382.pdf,1/12/2017,EF,,8/25,2016,Federal agency document,U.S. Department of Agriculture,Forest Service,,Federal Register,https://www.federalregister.gov/,"""mountain pine beetle"" ""dendroctonus ponderosae""",None,
32,2072,Rock creek integrated management project,,https://www.gpo.gov/fdsys/pkg/FR-2004-06-30/pdf/04-14841.pdf,1/12/2017,EF,,6/30,2004,Federal agency document,"Department of the Interior, U.S. Department of Agriculture","Land Management Bureau, Forest Service",,Federal Register,https://www.federalregister.gov/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Narrowed agency to ""Interior department""",
33,21166,Deferral of CO2,,https://www.gpo.gov/fdsys/pkg/FR-2011-03-21/pdf/2011-6438.pdf,1/12/2017,EF,,3/21,2011,Federal agency document,Environmental Protection Agency,,,Federal Register,https://www.federalregister.gov/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Narrowed agency to ""Environmental Protection Agency""",
34,27348,"Endangered and threatened wildlife and plants, Review of native species that are candidates for listing as endangered or threatened, Annual notification of findings on resubmitted petitions, Annual description of progress on listing actions",,https://www.gpo.gov/fdsys/pkg/FR-2016-12-02/pdf/2016-28817.pdf,1/12/2017,EF,,12/2,2016,Federal agency document,Department of the Interior,Fish and Wildlife Service ,,Federal Register,https://www.federalregister.gov/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Narrowed agency to ""Fish and Wildlife Service""",
35,27572,"Endangered and threatened wildlife and plants, 12-month finding for a petition to list the west coast distinct population segment of the fisher (Martes pennanti), proposed rule",,https://www.gpo.gov/fdsys/pkg/FR-2004-04-08/pdf/04-7941.pdf,1/12/2017,EF,Federal Register,4/8,2004,Federal agency document,Department of the Interior,Fish and Wildlife Service ,,Federal Register,https://www.federalregister.gov/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Narrowed agency to ""Fish and Wildlife Service""",
36,34118,Endangered and threatened wildlife and plants: Petition to delist the Southern Selkirk Mountains population of Woodland Caribou and amend listing,,https://www.regulations.gov/contentStreamer?documentId=FWS-R1-ES-2012-0097-0116&disposition=attachment&contentType=pdf,1/12/2017,EF,Federal Register,5/8,2014,Federal agency document,Department of the Interior,Fish and Wildlife Service ,,Regulations.gov,https://www.regulations.gov/,"""mountain pine beetle"" ","Narrowed by document type to only include: ""Notice"", ""Proposed rule"", ""Rule"", and ""Other""",
37,2021,"Environmental impact statements, Availability, etc.: Mountain pine beetle response project, black hills national forest, SD",,https://www.regulations.gov/contentStreamer?documentId=FS_FRDOC_0001-1257&disposition=attachment&contentType=pdf,1/12/2017,EF,Federal Register,2/23,2012,Federal agency document,Department of Agriculture,Forest Service,,Regulations.gov,https://www.regulations.gov/,"""mountain pine beetle"" ","Narrowed by document type to only include: ""Notice"", ""Proposed rule"", ""Rule"", and ""Other""",
38,21166,Deferral for CO2 Emissions from Bioenergy and Other Biogenic Sources Under the Prevention of Significant Deterioration (PSD) and Title V Programs: Proposed Rule,,https://www.regulations.gov/contentStreamer?documentId=EPA-HQ-OAR-2011-0083-0001&disposition=attachment&contentType=pdf,1/12/2017,EF,Federal Register,3/21,2011,Federal agency document,Environmental Protection Agency,,,Regulations.gov,https://www.regulations.gov/,"""mountain pine beetle"" ","Narrowed by document type to only include: ""Notice"", ""Proposed rule"", ""Rule"", and ""Other""",
39,935,"Helena National Forest, Montana, Stonewall Vegetation Project",,https://www.regulations.gov/document?D=FS_FRDOC_0001-1005,1/13/2017,EF,Federal Register,1/13,2010,Federal agency document,U.S. Department of Agriculture,Forest Service,,Regulations.gov,https://www.regulations.gov/,"""mountain pine beetle"" ","Narrowed by document type to only include: ""Notice"", ""Proposed rule"", ""Rule"", and ""Other""",
40,21166,"Listing endangered and threatened species: Completion of a review of the status of the Oregon Coast evolutionarily significant unit of Coho Salmon, Proposal to promulgate rule classifying species as threatened ",,https://www.regulations.gov/document?D=NOAA-NMFS-2010-0112-0001,1/13/2017,EF,Federal Register,5/26,2010,Federal agency document,Department of Commerce,"National Oceanic and Atmospheric Administration, National Marine Fisheries Service",,Regulations.gov,https://www.regulations.gov/,"""mountain pine beetle"" ","Narrowed by document type to only include: ""Notice"", ""Proposed rule"", ""Rule"", and ""Other""",
41,8110,"A decade of streamwater nitrogen and forest dynamics after a mountain pine beetle outbreak at the Fraser Experimental Forest, Colorado",,https://www.fs.fed.us/rm/pubs_journals/2016/rmrs_2016_rhoades_c001.pdf,1/13/2017,EF,,8/25,2016,Federal agency document,U.S. Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ""dendroctonus ponderosae""",None,
42,13250,Defense traits in the long-lived Great Basin bristlecone pine and resistance to the native herbivore mountain pine beetle,,https://www.fs.fed.us/rm/pubs_journals/2016/rmrs_2016_bentz_b002.pdf,1/13/2017,EF,,,2016,Federal agency document,U.S. Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ""dendroctonus ponderosae""",None,
43,12717,Mountain pine beetle host selection between lodgepole and ponderosa pines in the Southern Rocky Mountains ,,https://www.fs.fed.us/rm/pubs_journals/2016/rmrs_2016_west_d001.pdf,1/13/2017,EF,,11/6,2015,Federal agency document,U.S. Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ""dendroctonus ponderosae""",None,
44,5408,Effects of Bark Beetle Attack on Canopy Fuel Flammability and Crown Fire Potential in Lodgepole Pine and Engelmann Spruce Forests,,https://www.fs.fed.us/rm/pubs/rmrs_p073/rmrs_p073_174_180.pdf,1/13/2017,EF,,,2015,Federal agency document,U.S. Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ""dendroctonus ponderosae""",None,
45,3799,"Hidden in Plain sight: synthetic pheromone misleads beetles, protects trees",,https://www.fs.fed.us/pnw/sciencef/scifi170.pdf,1/13/2017,EF,,2,2015,Federal agency document,U.S. Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ""dendroctonus ponderosae""",None,
46,9865,"Appeal from a decision of the area manager, Dillon Resource Area, Montana, Bureau of Land Management, denying protest of timber sale. MT-076-TS-007.",,https://www.oha.doi.gov:8080/isysquery/46dc955b-5875-4f28-9567-d145114ae81c/4/doc/112IBLA293.pdf#xml=http://IHAESCWVPWEB01.doi.net:8080/isysquery/46dc955b-5875-4f28-9567-d145114ae81c/4/hilite/,1/13/2017,EF,file:///Users/EWP/Downloads/112IBLA293.html,1/9,1990,Federal agency document,Department of the Interior,Interior Board of Land Appeals ,,U.S. Department of the Interior: Office of Hearing and Appeals,https://www.doi.gov/oha/organization/ibla/Finding-IBLA-Decisions,"""mountain pine beetle"" ""dendroctonus ponderosae""","Searched within ""IBLA Decisions (1970-Present)""",
47,2510,In re Suce Creek Timber Sale,,https://www.oha.doi.gov:8080/isysquery/46dc955b-5875-4f28-9567-d145114ae81c/5/doc/131IBLA206.pdf#xml=http://IHAESCWVPWEB01.doi.net:8080/isysquery/46dc955b-5875-4f28-9567-d145114ae81c/5/hilite/,1/13/2017,EF,file:///Users/EWP/Downloads/131IBLA206.html,11/9,1994,Federal agency document,Department of the Interior,Interior Board of Land Appeals ,,U.S. Department of the Interior: Office of Hearing and Appeals,https://www.doi.gov/oha/organization/ibla/Finding-IBLA-Decisions,"""mountain pine beetle"" ""dendroctonus ponderosae""","Searched within ""IBLA Decisions (1970-Present)""",
48,29830,"Plant Pest Regulations, Update of Provisions",,https://www.regulations.gov/document?D=APHIS-2008-0076-0016,2/3/2017,EF,Federal Register,1/19,2017,Federal agency document,U.S. Department of Agriculture,Animal and Plant Health Inspection Service,,Regulations.gov,https://www.regulations.gov/,"""mountain pine beetle""","Searched ""notice"", ""proposed rule"", ""rule"", ""other"" document types and ""Food Safety, Health, and Pharmaceutical"" category",
49,170672,"Standards for the Growing, Harvesting, Packing and Holding of Produce for Human Consumption",,https://www.regulations.gov/document?D=FDA-2011-N-0921-0001,2/3/2017,EF,Federal Register,1/16,2013,Federal agency document,Food and Drug Administration,Department of Health and Human Services,,Regulations.gov,https://www.regulations.gov/,"""mountain pine beetle""","Searched ""notice"", ""proposed rule"", ""rule"", ""other"" document types and ""Food Safety, Health, and Pharmaceutical"" category",
50,52760,Focused Mitigation Strategies to Protect Food Against Intentional Adulteration,,https://www.regulations.gov/document?D=FDA-2013-N-1425-0002,2/3/2017,EF,Federal Register,12/24,2013,Federal agency document,Food and Drug Administration,Department of Health and Human Services,,Regulations.gov,https://www.regulations.gov/,"""mountain pine beetle""","Searched ""notice"", ""proposed rule"", ""rule"", ""other"" document types and ""Food Safety, Health, and Pharmaceutical"" category",
61,2841,The impact of climate change and states' actions,https://www.govinfo.gov/content/pkg/CHRG-108shrg82493/html/CHRG-108shrg82493.htm,https://www.govinfo.gov/content/pkg/CHRG-108shrg82493/pdf/CHRG-108shrg82493.pdf,1/19/2017,EF,,5/6,2011,Congressional document,Senate,"Senate Committee on Commerce, Science, and Transportation",,GovInfo: Beta Launch (U.S Government Publishing Office),https://www.govinfo.gov/,“dendroctonus ponderosae” ,"Searched the ""Congressional hearings"", ""Congressional record"", ""Congressional reports"", ""GAO reports and comptroller general decisions"", ""Journal of House of Representatives"", and ""other"" collections",
62,7400,"Providing for Consideration of H.R. 1404, Federal Land Assistance, Management and Enhancement Act",https://www.govinfo.gov/content/pkg/CREC-2009-03-25/html/CREC-2009-03-25-pt1-PgH3986.htm,https://www.govinfo.gov/content/pkg/CREC-2009-03-25/pdf/CREC-2009-03-25-pt1-PgH3986.pdf,1/19/2017,EF,,3/25,2009,Congressional document,House of Representatives,"Committee on Rules, Committee on Natural Resources",,GovInfo: Beta Launch (U.S Government Publishing Office),https://www.govinfo.gov/,“dendroctonus ponderosae” ,"Searched the ""Congressional hearings"", ""Congressional record"", ""Congressional reports"", ""GAO reports and comptroller general decisions"", ""Journal of House of Representatives"", and ""other"" collections",
63,221864,Federal Agriculture Reform and Risk Management Act of 2013,https://www.govinfo.gov/content/pkg/CREC-2013-06-19/html/CREC-2013-06-19-pt1-PgH3787.htm,https://www.govinfo.gov/content/pkg/CREC-2013-06-19/pdf/CREC-2013-06-19-pt1-PgH3787.pdf,1/19/2017,EF,,6/19,2013,Congressional document,House of Representatives,"Committee on Agriculture, Committee on Agriculture, Nutrition, and Forestry, Committee on Education and Labor, Committee on Education and the Workforce, Committee on Natural Resources, Committee on Appropriations ",,GovInfo: Beta Launch (U.S Government Publishing Office),https://www.govinfo.gov/,“dendroctonus ponderosae” ,"Searched the ""Congressional hearings"", ""Congressional record"", ""Congressional reports"", ""GAO reports and comptroller general decisions"", ""Journal of House of Representatives"", and ""other"" collections",
64,4494,"Depleting Risk from Insect Infestation, Soil Erosion, and Catastrophic Fire Act",https://www.congress.gov/113/bills/hr1442/BILLS-113hr1442ih.xml,https://www.congress.gov/113/bills/hr1442/BILLS-113hr1442ih.pdf,1/19/2017,EF,,4/9,2013,Congressional document,House of Representatives,"Committee on Agriculture, Committee on Natural Resources",,Library of Congress,https://www.congress.gov,"""dendroctonus ponderosae"" ""mountain pine beetle""",None,
65,1073,Public Forests Emergency Act of 1999,,https://www.congress.gov/106/bills/hr1524/BILLS-106hr1524rh.pdf,1/19/2017,EF,,10/31,2000,Congressional document,House of Representatives,Committee on Resources,,Library of Congress,https://www.congress.gov,"""dendroctonus ponderosae"" ""mountain pine beetle""",None,
66,1519,The Colville National Forest Adaptive Management of Timber Resources Act,,,2/20/2017,EF,,5/16,1996,Congressional document,House of Representatives,,,Library of Congress,https://www.congress.gov,"""mountain pine beetle"" ""dendroctonus ponderosae"" ",,
67,4647,Introduction of Bills to Reduce Risks of Wildfires to Forest-Area Communities ,https://www.congress.gov/crec/2008/01/29/modified/CREC-2008-01-29-pt1-PgE96-4.htm,https://www.congress.gov/crec/2008/01/29/CREC-2008-01-29-pt1-PgE96-4.pdf,1/20/2017,EF,,1/29,2008,Congressional document,House of Representatives,,,Library of Congress,https://www.congress.gov,"""dendroctonus ponderosae"" ""mountain pine beetle""","Filtered subject to ""Policy Area: Public lands and natural resources""",
68,12797,Healthy Forests Restoration Act of 2003 ,,https://www.congress.gov/108/plaws/publ148/PLAW-108publ148.pdf,1/20/2017,EF,,12/3,2003,Congressional document,"House of Representatives, Judiciary, Senate","House - Committee on Agriculture, Committe on Resources, Senate - Committee on Agriculture, Nutrition, and Forestry",,Library of Congress,https://www.congress.gov,"""dendroctonus ponderosae"" ""mountain pine beetle""","Filtered subject to ""Policy Area: Public lands and natural resources"" and filtered ""status of legislation"" to ""became law""",
69,926,To authorize the continued use on national forest and other public lands of the alternative arrangements that were approved by the Council on Environmental Quality for windstorm-damaged national forests and grasslands in Texas,,https://www.congress.gov/105/bills/hr4345/BILLS-105hr4345ih.pdf,1/20/2017,EF,,7/29,1998,Congressional document,House of Representatives,Committee on Resources,,Library of Congress,https://www.congress.gov,"""dendroctonus ponderosae"" ""mountain pine beetle""","Filtered subject to ""Policy Area: Public lands and natural resources"" ",
